## Columns = 00000 count, 00001 count, 00010 count, 00011 count, 00100 count, 00101 count, 00110 count, 00111 count, 01000 count, 01001 count, 01010 count, 01011 count, 01100 count, 01101 count, 01110 count, 01111 count, 10000 count, 10001 count, 10010 count, 10011 count, 10100 count, 10101 count, 10110 count, 10111 count, 11000 count, 11001 count, 11010 count, 11011 count, 11100 count, 11101 count, 11110 count, 11111 count
[Gx:0Gx:1Gx:2Gx:3]([])^8[Gx:0Gx:1Gx:2Gx:3]@(0,1,2,3,4)  5  0  0  0  25  0  0  0  52  0  0  0  444  0  0  0  26  0  0  0  330  0  0  0  682  0  0  0  6628  0  0  0
[Gx:1Gx:3]([])[Gx:1Gx:3]@(0,1,2,3,4)  317  0  0  0  26  0  0  0  7170  0  0  0  551  0  0  0  3  0  0  0  0  0  0  0  116  0  0  0  9  0  0  0
[Gx:1Gx:3]([])^2[Gx:1Gx:3]@(0,1,2,3,4)  317  0  0  0  24  0  0  0  7250  0  0  0  470  0  0  0  3  0  0  0  0  0  0  0  118  0  0  0  10  0  0  0
[Gx:1Gx:3]([])^4[Gx:1Gx:3]@(0,1,2,3,4)  316  0  0  0  23  0  0  0  7277  0  0  0  455  0  0  0  6  0  0  0  0  0  0  0  109  0  0  0  6  0  0  0
[Gx:1Gx:3]([])^8[Gx:1Gx:3]@(0,1,2,3,4)  337  0  0  0  21  0  0  0  7206  0  0  0  516  0  0  0  2  0  0  0  0  0  0  0  107  0  0  0  3  0  0  0
[Gx:2Gx:3]([])[Gx:2Gx:3]@(0,1,2,3,4)  641  0  0  0  7242  0  0  0  9  0  0  0  208  0  0  0  8  0  0  0  82  0  0  0  0  0  0  0  2  0  0  0
[Gx:2Gx:3]([])^2[Gx:2Gx:3]@(0,1,2,3,4)  698  0  0  0  7189  0  0  0  14  0  0  0  185  0  0  0  10  0  0  0  94  0  0  0  0  0  0  0  2  0  0  0
[Gx:2Gx:3]([])^4[Gx:2Gx:3]@(0,1,2,3,4)  700  0  0  0  7192  0  0  0  17  0  0  0  169  0  0  0  15  0  0  0  96  0  0  0  1  0  0  0  2  0  0  0
[Gx:2Gx:3]([])^8[Gx:2Gx:3]@(0,1,2,3,4)  709  0  0  0  7176  0  0  0  12  0  0  0  181  0  0  0  12  0  0  0  99  0  0  0  0  0  0  0  3  0  0  0
Gx:4([])Gx:4@(0,1,2,3,4)  7384  0  0  0  500  0  0  0  176  0  0  0  17  0  0  0  107  0  0  0  4  0  0  0  4  0  0  0  0  0  0  0
